handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
prince-foods-18,Product,Prince Foods Kerala Paratha 1.2kg,"Prince Foods Kerala Paratha 1.2kg delivers soft, flaky, authentic South Indian parathas, ready to heat and enjoy.",96bfc4_96043e4262bf4c2284022dbc38098bb2~mv2.jpeg,Frozen ;Frozen Flatbreads,,,3.49,,true,PERCENT,0.0,InStock,,,FROZEN,DROP_DOWN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-18,Variant,,,,,1,,,,true,,,InStock,1.2,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10050,Product,Prince Foods Ariyunda 400g,"Ariyunda 400g is a traditional Kerala sweet made from roasted rice flour, jaggery, and coconut, offering a wholesome and nostalgic treat.​",96bfc4_6bf5b3024b9d4fa3a4922b7654b61b26~mv2.jpeg,Frozen ;Frozen Ready to Heat Curries & Snacks,,,1.99,,true,PERCENT,0.0,InStock,,,FROZEN,DROP_DOWN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10050,Variant,,,,,1,,,,true,,,InStock,0.4,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10051,Product,Prince Foods Banana Roast 454g,"Sweet, ripe bananas roasted to a soft, caramelized perfection, a classic South Indian treat.",96bfc4_7d0563aecf9342c09752a93d75f229c7~mv2.jpg,Frozen ;Frozen Ready to Heat Curries & Snacks,,,1.99,,true,PERCENT,0.0,InStock,,,FROZEN,DROP_DOWN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10051,Variant,,,,,1,,,,true,,,InStock,0.454,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10052,Product,Prince Foods Jaggery Vattayappam 454g,"Traditional steamed rice cake made with jaggery and coconut, offering a rich and authentic flavor.",96bfc4_fd9cda6c1efc42dba372e3e9f5d73d63~mv2.jpeg,Frozen ;Frozen Ready to Heat Curries & Snacks,,,1.79,,true,PERCENT,0.0,InStock,,,FROZEN,DROP_DOWN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10052,Variant,,,,,1,,,,true,,,InStock,0.454,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10053,Product,Prince Foods Marble Cake 200g,Moist and fluffy sponge cake with beautiful chocolate and vanilla swirls in every slice.,96bfc4_d453d9302b4c478596f81e4cafc7a32e~mv2.jpeg,Frozen ;Frozen Ready to Heat Curries & Snacks,,,1.49,,true,PERCENT,0.0,InStock,,,FROZEN,DROP_DOWN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10053,Variant,,,,,1,,,,true,,,InStock,0.2,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10054,Product,Prince Foods Mundirikothu 400g,"Delicious fried snack made from jaggery, green gram, and coconut, perfect for festive occasions.",96bfc4_c512bd5eb5e144958a80b8e85dbc5e3e~mv2.png,Frozen ;Frozen Ready to Heat Curries & Snacks,,,1.99,,true,PERCENT,0.0,InStock,,,FROZEN,DROP_DOWN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10054,Variant,,,,,1,,,,true,,,InStock,0.4,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10055,Product,Prince Foods Neyappam 1kg,"Soft, deep-fried rice dumplings infused with jaggery, coconut, and cardamom for a traditional Kerala taste",96bfc4_984c560874fe4522beaed507f2cb26cb~mv2.jpeg,Frozen ;Frozen Ready to Heat Curries & Snacks,,,3.99,,true,PERCENT,0.0,InStock,,,FROZEN,DROP_DOWN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10055,Variant,,,,,1,,,,true,,,InStock,1.0,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10056,Product,Prince Foods Sukhiyan 400g,"A popular snack featuring sweet green gram filling wrapped in a crispy, golden batter.",96bfc4_c512bd5eb5e144958a80b8e85dbc5e3e~mv2.png,Frozen ;Frozen Ready to Heat Curries & Snacks,,,1.99,,true,PERCENT,0.0,InStock,,,FROZEN,DROP_DOWN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10056,Variant,,,,,1,,,,true,,,InStock,0.4,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-500019,Product,Avees Wheat Puttu Podi 1kg,"Healthy wheat-based alternative to traditional puttu podi, combining taste with the benefits of whole grains.",96bfc4_f799105964f54f339983c1711dc6f149~mv2.jpg,Avees Products,,,1.99,,true,PERCENT,0.0,InStock,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-500008,Product,Avees Avaloose Podi Avees (Jar) 500g,"A traditional Kerala delicacy made from roasted rice flour and coconut, perfect for a quick, healthy snack with banana or jaggery.",96bfc4_86be0a0394d84fc3b8f0a1efaa5f924b~mv2.jpeg,Avees Products,,,3.99,,true,PERCENT,0.0,InStock,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-500009,Product,Avees Cheeda Sugarfree 250g,"A crunchy, diabetic-friendly snack made without any added sugar—ideal for those seeking a tasty, guilt-free treat.",96bfc4_9df77ebf5cac4c8cabee299abf777da1~mv2.png,Avees Products,,,2.79,,true,PERCENT,0.0,InStock,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-500010,Product,Avees Cheeda Sweet 250g,"A classic South Indian crispy snack coated in a light sugar glaze—crunchy, sweet, and satisfying.",96bfc4_d5d4e1fd8f7f4e49a432fd54930889cd~mv2.jpg,Avees Products,,,2.79,,true,PERCENT,0.0,InStock,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-500012,Product,Avees Idiyappam Podi 1kg,"Finely ground rice flour perfect for making soft and fluffy idiyappam (string hoppers), a Kerala breakfast staple.",96bfc4_de64836db3584091b760e470d3a4f856~mv2.jpg,Avees Products,,,1.99,,true,PERCENT,0.0,InStock,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-500013,Product,Avees Kaliyadakka 250g,A crunchy and savory Kerala snack made from roasted rice and spices. Perfect for teatime or as a light bite with authentic homemade flavor.,96bfc4_09b5f4df81fd4945a56dc534f8834818~mv2.jpg,Avees Products,,,2.79,,true,PERCENT,0.0,InStock,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-500014,Product,Avees Puncha Iddiyapam Podi 1kg,"Specially processed rice flour designed for easy preparation of soft and thin idiyappam, with a delicate texture and taste.",96bfc4_6ab55d204a1f4de689814f057ba1df57~mv2.png,Avees Products,,,1.99,,true,PERCENT,0.0,InStock,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-500015,Product,Avees Roasted Rava 1kg,"Premium semolina roasted to perfection—ideal for making upma, kesari, and a variety of South Indian dishes.",96bfc4_3d2738c308b14da19bad3096acf67ef8~mv2.jpg,Avees Products,,,1.99,,true,PERCENT,0.0,InStock,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-500016,Product,Avees Steamed Puncha Puttu Podi 1kg,"Steam-ready flour mix crafted for making traditional Kerala puncha puttu with a soft, grainy texture.",96bfc4_992018189a704646b998706d2d3856bc~mv2.png,Avees Products,,,1.99,,true,PERCENT,0.0,InStock,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-500017,Product,Avees Steamed Puttu Podi White 1kg,"A classic white puttu podi made from carefully milled rice, steamed to fluffy perfection for a wholesome breakfast.",96bfc4_45066a4db7074eff9b344abdae9a9138~mv2.png,Avees Products,,,1.99,,true,PERCENT,0.0,InStock,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-500018,Product,Avees Vatayappam Podi 1kg,"A special blend of rice flour ideal for making soft, spongy vattayappam—a steamed rice cake enjoyed across Kerala.",96bfc4_7c1f1e0b06454f01871ab31a5fcb493a~mv2.jpg,Avees Products,,,1.99,,true,PERCENT,0.0,InStock,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-17,Product,Prince Foods Kizhi Porotta 908g,Prince Foods Kizhi Porotta is a Layered porotta wrapped in banana leaf with spiced vegetarian filling – a flavorful South Indian delight.,96bfc4_d7389a25ea22446f9b42d1629935e76f~mv2.jpeg,Frozen ;Frozen Flatbreads,,,3.99,,true,PERCENT,0.0,InStock,,,FROZEN,DROP_DOWN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-17,Variant,,,,,1,,,,true,,,InStock,0.908,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10018,Product,Prince Foods Iddly 1kg,"Prince Foods Idly is a traditional and beloved South Indian dish, offering a soft, fluffy, and nutritious treat that’s perfect for breakfast or any time of the day. Made from a fermented blend of rice and urad dal",96bfc4_d43bad2262784a3fbafdd1df35478cab~mv2.jpeg,Frozen ;Frozen Ready to Heat Curries & Snacks,,,2.99,,true,PERCENT,0.0,InStock,,,FROZEN,DROP_DOWN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prince-foods-10018,Variant,,,,,1,,,,true,,,InStock,1.0,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
